content,aspect,sentiment,from,to
in 2008 federal officials received a tip from a confidential informant,federal officials,1,8,25
lee had sold the informant ecstasy and marijuana,lee,-1,0,3
after obtaining a warrant the officials searched lees house where they found drugs cash and a loaded rifle,lees,-1,49,53
after obtaining a warrant the officials searched lees house where they found drugs cash and a loaded rifle,officials,1,30,39
after obtaining a warrant the officials searched lees house where they found drugs cash and a loaded rifle,they,1,66,70
the officials searched lees house,lees,0,23,27
the officials searched lees house,officials,0,4,13
they found drugs cash and a loaded rifle,they,1,0,4
lee admitted that the drugs were his and a grand jury indicted him on one count of possessing ecstasy with intent to distribute,lee,-1,0,3
lee admitted that the drugs were his and a grand jury indicted him on one count of possessing ecstasy with intent to distribute,his,-1,33,36
lee admitted that the drugs were his and a grand jury indicted him on one count of possessing ecstasy with intent to distribute,him,-1,63,66
the drugs were his and a grand jury indicted him on one count of possessing ecstasy with intent to distribute,his,-1,15,18
the drugs were his and a grand jury indicted him on one count of possessing ecstasy with intent to distribute,him,-1,45,48
lee retained counsel and entered into plea discussions with the government,lee,0,0,3
lee retained counsel and entered into plea discussions with the government,government,0,64,74
during the plea process lee repeatedly asked his attorney whether he would face deportation his attorney assured him that he would not be deported as a result of pleading guilty,lee,0,24,27
during the plea process lee repeatedly asked his attorney whether he would face deportation his attorney assured him that he would not be deported as a result of pleading guilty,his,0,45,48
during the plea process lee repeatedly asked his attorney whether he would face deportation his attorney assured him that he would not be deported as a result of pleading guilty,attorney,0,49,57
during the plea process lee repeatedly asked his attorney whether he would face deportation his attorney assured him that he would not be deported as a result of pleading guilty,he,0,66,68
during the plea process lee repeatedly asked his attorney whether he would face deportation his attorney assured him that he would not be deported as a result of pleading guilty,his,0,92,95
during the plea process lee repeatedly asked his attorney whether he would face deportation his attorney assured him that he would not be deported as a result of pleading guilty,him,0,113,116
during the plea process lee repeatedly asked his attorney whether he would face deportation his attorney assured him that he would not be deported as a result of pleading guilty,he,0,122,124
during the plea process lee repeatedly asked his attorney,lee,0,24,27
during the plea process lee repeatedly asked his attorney,his,0,45,48
during the plea process lee repeatedly asked his attorney,attorney,0,49,57
he  would face deportation,he,-1,0,2
his attorney assured him,his,0,0,3
his attorney assured him,him,0,21,24
his attorney assured him,attorney,0,4,12
he would not be deported as a result of pleading guilty,he,1,0,2
based on that assurance lee accepted a plea and was sentenced to a year and a day in prison,lee,-1,24,27
lees attorney was wrong the conviction meant that lee was subject to mandatory deportation from this country,lee,-1,50,53
lees attorney was wrong the conviction meant that lee was subject to mandatory deportation from this country,attorney,-1,5,13
lees attorney was wrong,lees,0,0,4
lees attorney was wrong,attorney,-1,5,13
lee was subject to mandatory deportation from this country,lee,-1,0,3
lee seeks to vacate his conviction on the ground that in accepting the plea he received ineffective assistance of counsel in violation of the sixth amendment,lee,-1,0,3
lee seeks to vacate his conviction on the ground that in accepting the plea he received ineffective assistance of counsel in violation of the sixth amendment,his,-1,20,23
lee seeks to vacate his conviction on the ground that in accepting the plea he received ineffective assistance of counsel in violation of the sixth amendment,he,-1,76,78
lee seeks to vacate his conviction on the ground that in accepting the plea he received ineffective assistance of counsel in violation of the sixth amendment,counsel,0,114,121
everyone agrees that lee received objectively unreasonable representation,lee,1,21,24
lee received objectively unreasonable representation,lee,0,0,3
at the same time he was running his lawful businesses lee also engaged in some illegitimate activity,he,-1,17,19
at the same time he was running his lawful businesses lee also engaged in some illegitimate activity,his,-1,32,35
at the same time he was running his lawful businesses lee also engaged in some illegitimate activity,lee,-1,54,57
he was running his lawful businesses,he,1,0,2
he was running his lawful businesses,his,1,15,18
lee also engaged in some illegitimate activity,lee,-1,0,3
in 2008 a confidential informant told federal officials that lee had sold the informant approximately 200 ecstasy pills and two ounces of hydroponic marijuana over the course of eight years,lee,-1,61,64
in 2008 a confidential informant told federal officials that lee had sold the informant approximately 200 ecstasy pills and two ounces of hydroponic marijuana over the course of eight years,federal officials,1,38,55
lee had sold the informant approximately 200 ecstasy pills and two ounces of hydroponic marijuana over the course of eight years,lee,-1,0,3
